condition,seed,tau,area,area_fraction,perimeter,component_count,circularity,eccentricity,orientation,major_axis,minor_axis,curvature_mean,curvature_std,curvature_q90,curvature_q99,euler_characteristic,fourier_0,fourier_1,fourier_2,fourier_3,fourier_4,fourier_5,fourier_6,fourier_7,fourier_8,fourier_9
RANDOM_PURE,42,0.3,1776,0.1083984375,159,1,0.8827923820696132,0.2516832639985299,143.3115177822607,24.327599030131463,23.54448530365931,0.38604675607521666,0.3578078270093228,0.7071067811865475,0.9999999999999999,1,0.03681021954471773,0.03922320718505464,0.009708355122013127,0.015569200984956637,0.008419037253802737,0.02630853146244413,0.013404455242290288,0.013731752214211844,0.012107065517126814,0.005674240383587023
RANDOM_PURE,42,0.4,1337,0.08160400390625,129,1,1.0096290794662708,0.32223096556873837,113.26219880536065,21.398769706154457,20.257382490902536,0.31925400142692684,0.3614346719779101,0.7071067811865475,0.9999999999999998,1,0.06597188988165985,0.010600078627781277,0.009261812778844717,0.0062582882632983465,0.01657906190933876,0.027123286953447057,0.013962840051705708,0.01893140442715094,0.00336539007749348,0.00854325109315126
RANDOM_PURE,42,0.5,997,0.06085205078125,112,1,0.9987780215653775,0.3513214007856685,97.2723688703515,18.572043662226292,17.388167234625268,0.3645168500181314,0.3649642374593538,0.7071067811865475,1.0,1,0.04214903693055702,0.021019473589994852,0.01970371070657939,0.006137138466617343,0.01794257517368038,0.025900634782733058,0.005140770703627783,0.023285004192058888,0.004329409061750105,0.003998466118138906
RANDOM_PURE,42,0.6,720,0.0439453125,97,1,0.9616098248845365,0.442244011920479,89.42383181104215,16.236378832400284,14.562323308003888,0.3934178542057757,0.36372536752802886,0.7071067811865475,1.0,1,0.05246538768847849,0.012057289769976751,0.015050401541732499,0.026029645090000334,0.021551931715662977,0.028321697590744436,0.01981421607723841,0.010141860648270091,0.017843347182269827,0.0020276257653151237
RANDOM_PURE,42,0.7,509,0.03106689453125,83,1,0.9284776662373085,0.47513955341883546,106.2956286721583,13.89236069579562,12.224033388958397,0.3743813165241283,0.35341034337086946,0.7071067811865475,0.9999999999999998,1,0.08081523293465032,0.0087032571161744,0.015663328090364435,0.017197900614444123,0.03983284157885126,0.026507394345821018,0.011254886730801704,0.006424424811167946,0.0016363217733351247,0.018088887993340158
RANDOM_PURE,43,0.3,1580,0.096435546875,135,1,1.0894302096399173,0.391155726544416,107.34065501642849,23.4963211182896,21.62424014193017,0.3796654370069558,0.37058823163154914,0.7071067811865475,1.0,1,0.00645269647373318,0.027210502441248105,0.006049134683001987,0.004783354807010807,0.001540512023964796,0.007716020369351594,0.011378696547431842,0.006874584608308783,0.010322625213742791,0.0077212120379206465
RANDOM_PURE,43,0.4,1137,0.06939697265625,112,1,1.139027693600636,0.4967526557025667,109.68819612199363,20.55903236312141,17.843022977459157,0.3513869558868516,0.3680431749960094,0.7071067811865475,0.9999999999999998,1,0.01387584606108625,0.010911519004122482,0.019495343658390264,0.01553254992364753,0.019678963934128928,0.00803690947569633,0.01658511350672785,0.01011213334524675,0.007932562712642146,0.0019135307767121034
RANDOM_PURE,43,0.5,853,0.05206298828125,99,1,1.0936755569889167,0.49719645023979275,111.91711132133857,17.837470680655823,15.476467292109502,0.41773069756896325,0.37233369098143715,0.7071067811865475,1.0,1,0.00919149779843707,0.015426749077217035,0.015239378160315219,0.015105980142649552,0.021986278603550624,0.016231217147847903,0.012961461645199032,0.006395504363793254,0.004546526119669986,0.004337749853352531
RANDOM_PURE,43,0.6,646,0.0394287109375,86,1,1.0976034906538703,0.5212321322721013,114.32030883674841,15.676357212890474,13.37843749132937,0.3734034694442801,0.3577872405104615,0.7071067811865475,0.751040764008567,1,0.02707657062115345,0.01112838734166651,0.00917163898411182,0.0033009895243972538,0.021651585800686306,0.012203433896054165,0.015007845681656045,0.0038421015860017733,0.007242171804563493,0.005333174321451268
RANDOM_PURE,43,0.7,441,0.02691650390625,73,1,1.0399267106272088,0.5584488858204203,97.05500496995879,13.301882505549163,11.034429425059772,0.4091788723984767,0.3659815752143947,0.7071067811865475,1.0,1,0.02302477362865017,0.02653754474103439,0.045817554634784444,0.011537094748917546,0.028705296715527958,0.00987480253564519,0.013993747020756014,0.002584041925655982,0.00776748638161125,0.005545287606459099
RANDOM_PURE,99,0.3,1581,0.09649658203125,133,1,1.1231517859292133,0.24994226894783353,80.23869801248415,22.871305276413054,22.145386990222846,0.4266174087983279,0.35534245904750766,0.7071067811865475,0.9999999999999998,1,0.023457361464582573,0.01341711176624902,0.013251154307428414,0.009981845211397462,0.0018933104872605158,0.0103353076994765,0.009574035178944004,0.00043657826276563,0.0035546670498056007,0.006273298176821223
RANDOM_PURE,99,0.4,1200,0.0732421875,113,1,1.180957376241758,0.355282464604295,88.5439804939162,20.337066495513675,19.010255747340103,0.3467589927794121,0.35713556466148344,0.7071067811865475,0.7071067811865475,1,0.016540072209911032,0.01468508654894019,0.017976210671295602,0.008210425838334926,0.014328479570021736,0.0092747784465074,0.011234913718902916,0.007253796611973819,0.008269410247102022,0.003864381526127344
RANDOM_PURE,99,0.5,845,0.05157470703125,100,1,1.06185831691335,0.5658401270447323,68.55705297851515,18.243302084198145,15.041875835182159,0.4118376618407356,0.3610951956057514,0.7071067811865475,1.0,1,0.015266553870726826,0.037632646080424825,0.021771861476280772,0.020165492582085366,0.007853992321732124,0.012734848414808096,0.02302737429482088,0.010856481280078142,0.008006718631911635,0.0031593735585204756
RANDOM_PURE,99,0.6,591,0.03607177734375,84,1,1.05254039584556,0.6061687965387781,67.86634066699709,15.573463004287962,12.386136136250586,0.3449796836924583,0.351544145614847,0.7071067811865475,0.9701425001453319,1,0.04803467406946764,0.016386564456994216,0.028842023449344573,0.004388424364451322,0.01910535034098259,0.013216520870292875,0.006331320379508261,0.006476266681577939,0.0010068947321311154,0.010133149111689698
RANDOM_PURE,99,0.7,374,0.0228271484375,72,1,0.9066015836748323,0.41107743203848507,93.47407403611592,11.79033227432435,10.748071976888342,0.4424141595770254,0.3671856028785848,0.7071067811865475,1.0,1,0.04868983871575497,0.01916034837679352,0.06156951772299213,0.015211640593001287,0.04573706975474009,0.025010647692476018,0.010771439538114129,0.010088929828938298,0.018091985452325137,0.0044451668056628285
NEAR_NULL,42,0.3,1559,0.09515380859375,132,1,1.1243670677103967,0.2128329084159029,83.46442306148711,22.608069295859465,22.090087018155277,0.4128596566898358,0.3641115308641762,0.7071067811865475,1.0,1,0.020809087113703967,0.017820188820983848,0.0042730404910584245,0.009807576231349521,0.004602906863917555,0.008653346633612247,0.0026771151859787167,0.010974086888134086,0.004629205985103669,0.009767010834858484
NEAR_NULL,42,0.4,1155,0.07049560546875,121,1,0.9913365247991834,0.4969517404676001,109.05670015767932,20.759432496740793,18.01458252547887,0.37884810275674335,0.35944594553964404,0.7071067811865475,0.9414213562373085,1,0.019380172992270912,0.03123831934832179,0.019163847736463083,0.004368241320654774,0.01089889675479822,0.02030697578500122,0.017808055390556,0.0152799945222239,0.008071305630008565,0.010119782548016015
NEAR_NULL,42,0.5,795,0.04852294921875,112,1,0.7964177804859328,0.6290522174307759,108.69532489117427,18.527244642102826,14.402395358275768,0.40737942082327755,0.3498087810702682,0.7071067811865475,1.0,1,0.04152891806096397,0.043274458693029184,0.033682579217033715,0.036573742588472895,0.012393083358556376,0.028490546219018212,0.02464969532420471,0.010079385263477339,0.012384427458046377,0.011815301031191223
NEAR_NULL,42,0.6,509,0.03106689453125,78,1,1.0513285080060517,0.7011466692702742,100.77486571728878,15.347395227352699,10.94295484235651,0.395737032702894,0.3431489112710149,0.7071067811865475,0.7744722215136427,1,0.04507783565560504,0.030724562665714265,0.010296431536642935,0.0393555764231683,0.019539098273574237,0.028299365595125952,0.004294045494746446,0.00207442428314702,0.004542632951390517,0.006861321187594541
NEAR_NULL,42,0.7,302,0.0184326171875,61,1,1.0198989318829534,0.6528967759090912,93.85568229455083,11.564207763807723,8.759273273467599,0.36596649787107116,0.38046950866810225,0.7071067811865475,1.0,1,0.08573665149566748,0.03911767444730867,0.04383953033160157,0.03882194392495986,0.013248831571474166,0.02661437634253528,0.0070299559075089075,0.00899546040256559,0.009338006708646507,0.006723856541632198
NEAR_NULL,43,0.3,1506,0.0919189453125,140,2,0.9655588849604548,0.4259044004799676,103.51881418452616,23.17477053076338,20.96779472593529,0.3955684854890902,0.3615971018193729,0.7071067811865475,1.0,2,0.05841135467758163,0.022491555672197416,0.005652542475698313,0.003055838148395899,0.006474234066152304,0.005789803703828447,0.017317191563048662,0.006393818560853468,0.022604241345506388,0.004368693213806011
NEAR_NULL,43,0.4,1104,0.0673828125,113,1,1.0864807861424173,0.4295310488932241,107.31340124098561,19.857722247115852,17.932557586509883,0.35194294355487143,0.36438075226818095,0.7071067811865475,1.0,1,0.01670964570245337,0.02063136836273834,0.02134737249049269,0.009235724921334188,0.02232650743933484,0.007292698817694471,0.01567533244284931,0.005800406420948901,0.008697063442058176,0.0054379273070198604
NEAR_NULL,43,0.5,790,0.0482177734375,98,1,1.0336768831053464,0.5364538554143309,103.96420357989193,17.41003651707719,14.69284609512453,0.3296909661819285,0.3546961535223084,0.7071067811865475,0.8975943752699185,1,0.06386940448449996,0.01343998810658779,0.027674355746952456,0.028500626920067443,0.026310776057015702,0.011578326945815526,0.021670499212385477,0.00529262961453584,0.007155404110793844,0.004852727172244268
NEAR_NULL,43,0.6,574,0.0350341796875,83,1,1.0470455411006192,0.5083226485797836,121.79655189599549,14.803934178199336,12.748655141125024,0.3719284058444434,0.37252878366771963,0.7071067811865475,1.0,1,0.03392146694536028,0.005187729414759497,0.015348565642497836,0.011120068424595725,0.03540801718502915,0.017285575015029638,0.026289195421048833,0.005385056230823034,0.016636048236809767,0.010406143606060157
NEAR_NULL,43,0.7,344,0.02099609375,64,1,1.055378782065321,0.22942675001961896,160.18051890616474,10.777617750364128,10.49013482207888,0.3874842167691145,0.3830548025476587,0.7071067811865475,1.0,1,0.04935470656693824,0.01622446580762481,0.015605374861512367,0.022674654127443388,0.032403384149327516,0.02631843110448975,0.01806570270284748,0.013686713448767462,0.006702508534528136,0.008846222340343917
NEAR_NULL,99,0.3,1633,0.09967041015625,135,1,1.1259743875582184,0.3841032143999499,165.37550814654915,23.78740077256826,21.96267307990702,0.45479236755311103,0.34509394132809956,0.7071067811865475,0.9004163056034251,1,0.02486200903546309,0.007255688315077351,0.014300299232200699,0.011824198623585752,0.009423163648669014,0.006747070622344371,0.009185012127362585,0.011311262154198126,0.006555902659194787,0.002956590138650926
NEAR_NULL,99,0.4,1236,0.075439453125,122,1,1.0435389733504392,0.2930578078207671,152.20377662681932,20.441733706092172,19.544233745964306,0.39213623306201595,0.36484848995380487,0.7071067811865475,1.0,1,0.027672848914428453,0.018894803512706806,0.031287483982526045,0.025354777191387658,0.0155580974306268,0.013308889050387811,0.008520957096309671,0.010099849781900058,0.0017064666664721383,0.0056761298190110025
NEAR_NULL,99,0.5,894,0.0545654296875,103,1,1.0589438523175698,0.480452159708659,128.47357511123758,18.18773648656525,15.95102567767657,0.4174364574104541,0.35323636596222974,0.7071067811865475,0.9978885438199987,1,0.020166570127727896,0.03078441072017315,0.021055696393414286,0.03079469196109745,0.013532970086385208,0.011810503879691148,0.0067800707068540024,0.008103037501314069,0.011926670823130049,0.00648417110692671
NEAR_NULL,99,0.6,661,0.04034423828125,91,1,1.003063757528247,0.45576856003634114,129.57092966156628,15.563588908452717,13.853124344217635,0.3531315247160017,0.3728731553598564,0.7071067811865475,1.0,1,0.025663305332892072,0.014540590231481014,0.019498929974133248,0.015900176035873598,0.012920259015047538,0.031908247161285104,0.01089971779489569,0.005666598377942026,0.010553278768015989,0.0024663397120616866
NEAR_NULL,99,0.7,443,0.02703857421875,75,1,0.9896714990508646,0.2844060085611146,133.09445774198565,12.364213008859652,11.85361958294078,0.25846368414466975,0.3462126379048446,0.7071067811865475,0.7832590180780465,1,0.07183765357938039,0.007609847360614282,0.03446425112678599,0.019505272364237825,0.027075160492640422,0.02690748962137845,0.0033304164247394213,0.01581780845304878,0.004162657401330631,0.01424914334381939
REAL_NORMAL,42,0.3,442,0.0269775390625,75,1,0.9874374776083119,0.795319162267009,133.29264811731542,15.401033881099158,9.335966880064223,0.3434014463335544,0.3470366277714749,0.7071067811865475,0.7699166755711799,1,0.06961099897066624,0.023504428405128293,0.006384042396404351,0.03211696268235292,0.007264648967017305,0.0003348473466559102,0.004083876315451667,0.007508902861469523,0.0020635062084177094,0.004785932410034466
REAL_NORMAL,42,0.4,306,0.0186767578125,58,1,1.1430765184286287,0.7316523557370082,136.3874913135405,11.98529116735895,8.170108737981861,0.3758446529866091,0.3668826321685078,0.7071067811865475,1.0,1,0.010928204835798615,0.032062625675353645,0.0016644649894024962,0.025577258316882553,0.009543872639356053,0.005169595454590703,0.004391627849475466,0.0076220524175753665,0.0012178164224642977,0.005163122030214042
REAL_NORMAL,42,0.5,231,0.01409912109375,49,1,1.2090094177080255,0.7038573288391273,140.10853048379659,10.195469037597537,7.242263434673076,0.3956076798132701,0.3594563247281189,0.7071067811865475,0.8594112549695416,1,0.022616814635390805,0.025309247149034698,0.004769270199836376,0.018495844743518272,0.009239886118341267,0.011875733142497936,0.008782575871395013,0.005123523964025592,0.0027074167476055827,0.002604516299442942
REAL_NORMAL,42,0.6,174,0.0106201171875,41,1,1.300742704877154,0.6921020842032758,143.16805884212263,8.769723875906728,6.329983443809794,0.40381339478302547,0.3600245394734596,0.7071067811865475,0.8828427124746192,1,0.003953363907949819,0.028647384323516923,0.009521671192456628,0.01772460365539778,0.011872113548641245,0.010593227288831355,0.009184355585428986,0.009660233850919697,0.006270806650171704,0.0012891978542589986
